id,region_id,delegacion,nivel,sede,created_at,updated_at
131,5,C.T.21,"BACHILLERATO ANTONIO MARIA DE RIVERA MIXTA",XALAPA,NULL,NULL
132,8,C.T.14,BACHILLERATO,ORIZABA,NULL,NULL
133,6,C.T.10,SECUNDARIA,"SOLEDAD DE DOBLADO",NULL,NULL
134,8,C.T.40,TELEBACHILLERATO,ZONGOLICA,NULL,NULL
135,6,C.T.32,SECUNDARIA,CARDEL,NULL,NULL
136,1,C.T.07,"SECUNDARIA GENERAL",IXCATEPEC,NULL,NULL
137,6,C.T.31,"UNIVERSIDAD PEDAGOGICA VERACRUZANA",VERACRUZ,NULL,NULL
138,5,C.T.33,"NORMAL MANUEL SUAREZ TRUJILLO",XALAPA,NULL,NULL
139,5,D-II-55,TELEBACHILLERATO,XALAPA,NULL,NULL
140,5,C.T.24,"DEPARTAMENTO NORMALES",XALAPA,NULL,NULL
141,11,D-I-28,PRIMARIAS,"JESUS CARRANZA",NULL,NULL
142,11,D-I-02,PRIMARIAS,ACAYUCAN,NULL,NULL
143,3,D-II-25,TELEBACHILLERATO,ESPINAL,NULL,NULL
144,11,D-I-31,FORANEAS,MINATITLAN,NULL,NULL
145,11,D-I-17,PRIMARIAS,COSOLEACAQUE,NULL,NULL
146,3,D-I-26,PRIMARIAS,"IXHUATLAN DE MADERO",NULL,NULL
147,1,D-II-01,NORMAL,ACECECA,NULL,NULL
148,3,D-II-54,TELESECUNDARIA,ALAMO,NULL,NULL
149,11,D-I-01,PRIMARIAS,ACAYUCAN,NULL,NULL
150,3,D-I-83,PREESCOLAR,"POZA RICA",NULL,NULL
151,7,D-III-21,"EDUCACION FISICA",HUATUSCO,NULL,NULL
152,7,D-I-22,PRIMARIAS,FORTIN,NULL,NULL
153,11,D-I-86,"EDUCACION ESPECIAL",ACAYUCAN,NULL,NULL
154,3,D-I-69,PRIMARIAS,TIHUATLAN,NULL,NULL
155,7,D-I-16,PRIMARIAS,COSCOMATEPEC,NULL,NULL
156,3,D-II-47,TELEBACHILLERATO,PAPANTLA,NULL,NULL
157,3,D-III-12,"EDUCACION FISICA","POZA RICA",NULL,NULL
158,11,D-II-44,TELEBACHILLERATO,ACAYUCAN,NULL,NULL
159,11,D-II-52,TELESECUNDARIA,COATZACOALCOS,NULL,NULL
160,11,D-II-23,SECUNDARIA,COATZACOALCOS,NULL,NULL
